GROA.measurement.ID,is.duplicate.of.ForC.measurement.ID,is.independent.of.ForC.meaurement.ID,double.checked
4816,15920,,1
4816,,15921,1
3003,,7542,1
3003,,7543,1
3003,7546,,1
3003,,7549,1
3008,7543,,1
3008,,7546,1
3008,,7549,1
5366,11579,,1
5366,,11580,1
5366,,11581,1
5366,,11582,1
5372,11579,,1
5372,,11580,1
5372,,11581,1
5372,,11582,1
5378,11563,,1
5378,,11564,1
5384,11598,,1
5384,,11599,1
5390,11650,,1
5390,,11651,1
5396,11623,,1
5402,11554,,1
5408,11617,,1
5414,11527,,1
5414,,11528,1
5420,11607,,1
5426,11512,,1
5432,11590,,1
5438,,11563,1
5438,11564,,1
5444,,11650,1
5444,11651,,1
5450,11545,,1
5450,,11546,1
5450,,11547,1
5450,,11548,1
5456,11581,,1
5456,,11579,1
5456,,11580,1
5456,,11582,1
5462,,11579,1
5462,11580,,1
5462,,11581,1
5462,,11582,1
5468,,11545,1
5468,11546,,1
5468,,11547,1
5468,,11548,1
5474,11593,,1
5480,11658,,1
5480,,11659,1
5486,11599,,1
5486,,11598,1
5492,11547,,1
5492,,11545,1
5492,,11546,1
5492,,11548,1
5498,11548,,1
5498,,11545,1
5498,,11546,1
5498,,11547,1
5504,11517,,1
5510,11659,,1
5510,,11658,1
5516,11528,,1
5516,,11527,1
5599,12584,,1
5599,,12583,1
5730,,16960,1
4424,,4699,1
4425,,4700,1
4432,,4707,1
4433,,4708,1
4440,,4683,1
4441,,4684,1
4448,,4691,1
4449,,4692,1
3283,,11017,1
1225,,9659,1
1226,,9660,1
1227,,9661,1
1228,,9662,1
1229,,9663,1
1230,,9664,1
1231,,9665,1
1232,,9666,1
1233,,9667,1
1234,,9668,1
1236,,9670,1
1237,,9671,1
1238,,9672,1
1239,,9673,1
1148,,10830,1
1150,,10831,1
1151,,10834,1
1154,,10837,1
1155,,10839,1
1156,,10839,1
1157,,10839,1
1158,,10839,1
1159,,10840,1
1160,,10840,1
1166,,10829,1
1168,,10831,1
1169,,10832,1
1170,,10834,1
1171,,10834,1
1172,,10835,1
1177,,10839,1
1178,,10839,1
1179,,10839,1
1180,,10839,1
1181,,10842,1
1182,,10842,1
1183,,10842,1
1184,,10842,1
1185,,10842,1
1186,,10842,1
1197,,10843,1
1198,,10843,1
1199,,10843,1
1200,,10844,1
1200,,10845,1
1201,,10844,1
1201,,10845,1
5663,,9115,1
5666,,9112,1
5669,,9109,1
3004,7547,,
3452,,14065,1
3452,14066,,1
3453,14068,,1
3453,,14069,1
3453,,14070,1
3454,14071,,1
3455,14073,,1
3456,14065,,1
3456,,14066,1
3457,14067,,1
3458,14072,,1
3459,14069,,1
3459,,14068,1
3459,,14070,1
3460,14074,,1
3460,,14075,1
3461,14076,,1
3462,14077,,1
3462,,14078,1
3463,14078,,1
3463,,14077,1
3464,14070,,1
3464,,14068,1
3464,,14069,1
3465,14075,,1
3465,,14074,1
3689,,13431,1
3691,,13432,1
3693,,13433,1
3693,,13436,1
5724,,16962,1
3088,,15564,1
13641,,15566,1
13642,,15568,1
13643,,15570,1
13644,,15572,1
13273,3354,,
13281,3399,,
13283,3409,,